"Date","Category","L","S","A","Real.estate","Private.businesses","Liabilities","C","Fixed.income","Mkt_RF","dlnL","dlnL_lag","shock_loc_raw","shock_loc","shock_glo_raw","shock_glo"
2015-07-01,"Top1",9552245,0.365804799510067,26112957,3415799,5147593,683516,2860902,4136952,-0.0746545187159999,-0.0809896240971391,0.00757977190564318,0.00138520293592486,0.0520174476921719,-0.104492064837083,-1.11841690126571
2015-10-01,"Top1",9967274,0.374435422728488,26619474,3465045,5208861,697047,2960844,3905039,0.0603434523749999,0.0425309209267901,-0.0809896240971391,-0.0169383616138646,-0.63607310985954,0.0214496445615393,0.229583414215909
2016-01-01,"Top1",10159108,0.376327722804369,26995375,3528149,5207226,711283,3045736,3982700,0.00750583358000001,0.0190635166936843,0.0425309209267901,0.0107965005108186,0.405432580320834,-0.00539436103334169,-0.0577378249786236
2016-04-01,"Top1",10488009,0.379411633196377,27642824,3633225,5379079,730161,3035333,4029897,0.0268556108720002,0.0318619615640863,0.0190635166936843,0.00378700634770995,0.142210501792216,0.00804559710981567,0.0861149772704939
2016-07-01,"Top1",10846114,0.384840071996909,28183432,3683729,5532874,748818,3106590,3846912,0.047313191262,0.0335742545664175,0.0318619615640863,-0.0172690313775156,-0.64849049412,0.00940802729078684,0.100697567284084
2016-10-01,"Top1",10967332,0.388376687707143,28238904,3737192,5519836,752921,3080993,3719230,0.046121308834,0.0111141768049379,0.0335742545664175,-0.03852196054275,-1.44658520103014,-0.0130988583185881,-0.140201885699504
2017-01-01,"Top1",11622942,0.401241046856682,28967480,3802395,5503682,757478,3078144,3717216,0.0573832007900001,0.0580598675873389,0.0111141768049379,-0.00267740014553045,-0.100542323734071,0.03446080910341,0.368846681254087
2017-04-01,"Top1",11995527,0.404902189784964,29625740,3873636,5757227,769130,2986059,3815010,0.0296863229239999,0.0315529267561558,0.0580598675873389,-0.00148019124560509,-0.0555844697522717,0.00667054424386688,0.0713972820291496
2017-07-01,"Top1",12406890,0.41254086125942,30074330,3937837,5784752,775970,2962770,3735638,0.0460476226159998,0.0337181331592191,0.0315529267561558,-0.0157400753296015,-0.591074797702278,0.00956035376853823,0.102327973454094
2017-10-01,"Top1",13111627,0.423570830167849,30954981,3984155,5875816,788037,2974252,3764764,0.0656828742719997,0.05524743035431,0.0337181331592191,-0.0155725149565475,-0.584782533432136,0.0310304621146187,0.332130419062773
2018-01-01,"Top1",13086519,0.420932172426614,31089377,4075447,5913421,795078,2990565,3828456,-0.00653928867999998,-0.00191677744579977,0.05524743035431,0.00440354613163769,0.165362940419694,-0.026722278177903,-0.286018345996777
2018-04-01,"Top1",13309523,0.423444570471353,31431559,4128153,5985029,804420,2924500,3952906,0.0344157419179998,0.0168971776816491,-0.00191677744579977,-0.0183433419028313,-0.688833241096962,-0.0063456620221591,-0.0679199484321415
2018-07-01,"Top1",13909502,0.432892505799131,32131538,4178902,6027278,812451,2824119,4140300,0.0682445623999999,0.0440924096640352,0.0168971776816491,-0.0286839036435647,-1.07714430766075,0.020335265020175,0.21765580119161
2018-10-01,"Top1",12054605,0.399141012448807,30201369,4097812,5999313,821799,2882200,4321432,-0.150410521675,-0.143125459103498,0.0440924096640352,0.0194876669455579,0.731805188751065,-0.167626022239624,-1.79416280707091
2019-01-01,"Top1",13926042,0.429962377942274,32388978,4110790,6076765,821680,2939955,4487942,0.13309092794,0.144313867847846,-0.143125459103498,0.00910753042774931,0.342008001386456,0.124931158672829,1.33718402035839
2019-04-01,"Top1",14383663,0.43354575583755,33176805,4248039,6263296,832660,2822741,4699921,0.0353986779240001,0.0323324361878043,0.144313867847846,-0.0110733225675068,-0.415827863553613,0.00509218377879688,0.0545035109741305
